_sqrt_TW_freq 	 _amp 	 _theta 	 _DCV 	 _time 	 _sensor_temp 	 _diff 	 _tesla 	 _temp_A 	 _temp_B 	 
1.19582607E+1	2.91878000E-6	5.50407033E-1	6.50994300E-2	1.05673790E+0	1.66741705E+3	2.01456592E-8	8.79500000E+0	2.92872104E+1	0.00000000E+0
1.19582607E+1	2.46383000E-6	5.98892280E-1	6.51008200E-2	3.34790087E+0	1.66745266E+3	2.07664104E-8	8.79500000E+0	2.94022962E+1	0.00000000E+0
1.19582607E+1	1.89222000E-6	7.00365722E-1	6.50999000E-2	6.70581484E+0	1.66742909E+3	2.21620613E-8	8.79500000E+0	2.94036551E+1	0.00000000E+0
1.19582607E+1	1.56021000E-6	7.99849490E-1	6.51010700E-2	9.00128412E+0	1.66745906E+3	2.36715398E-8	8.79500000E+0	2.93304969E+1	0.00000000E+0
1.19582607E+1	1.28314000E-6	9.33995496E-1	6.51007400E-2	1.12991710E+1	1.66745061E+3	2.59638798E-8	8.79500000E+0	2.93951399E+1	0.00000000E+0
1.19582607E+1	9.89887000E-7	1.20668574E+0	6.51010600E-2	1.46507769E+1	1.66745880E+3	3.17818897E-8	8.79500000E+0	2.93959176E+1	0.00000000E+0
1.19582607E+1	8.69743000E-7	1.44816949E+0	6.51009600E-2	1.69481406E+1	1.66745624E+3	3.87366801E-8	8.79500000E+0	2.93945230E+1	0.00000000E+0
1.19582607E+1	8.17938000E-7	1.70975944E+0	6.51013700E-2	1.92522869E+1	1.66746674E+3	4.91980125E-8	8.79500000E+0	2.93942702E+1	0.00000000E+0
1.19582607E+1	8.23991000E-7	1.95197624E+0	6.51005900E-2	2.15520234E+1	1.66744677E+3	6.31806823E-8	8.79500000E+0	2.93930564E+1	0.00000000E+0
1.19582607E+1	8.68578000E-7	2.15062961E+0	6.51012100E-2	2.38552527E+1	1.66746265E+3	7.96326257E-8	8.79500000E+0	2.93943993E+1	0.00000000E+0
1.19582607E+1	9.32956000E-7	2.30194966E+0	6.51015000E-2	2.61542130E+1	1.66747007E+3	9.68950354E-8	8.79500000E+0	2.93960230E+1	0.00000000E+0
1.19582607E+1	1.00421000E-6	2.41368564E+0	6.51008800E-2	2.84474993E+1	1.66745419E+3	1.13517469E-7	8.79500000E+0	2.93962364E+1	0.00000000E+0
1.19582607E+1	1.07522000E-6	2.49662368E+0	6.51015000E-2	3.07468615E+1	1.66747007E+3	1.28786365E-7	8.79500000E+0	2.93980208E+1	0.00000000E+0
1.19582607E+1	1.14204000E-6	2.55861778E+0	6.51019000E-2	3.30521469E+1	1.66748032E+3	1.42305285E-7	8.79500000E+0	2.93742688E+1	0.00000000E+0
1.19582607E+1	1.20293000E-6	2.60553223E+0	6.51018100E-2	3.53669763E+1	1.66747801E+3	1.54002750E-7	8.79500000E+0	2.93736397E+1	0.00000000E+0
1.19582607E+1	1.25683000E-6	2.64113694E+0	6.51014200E-2	3.76739459E+1	1.66746802E+3	1.63870547E-7	8.79500000E+0	2.94266625E+1	0.00000000E+0
1.19582607E+1	1.30398000E-6	2.66836408E+0	6.51022500E-2	3.99698873E+1	1.66748928E+3	1.72070827E-7	8.79500000E+0	2.94243880E+1	0.00000000E+0
1.19582607E+1	1.36323000E-6	2.69768561E+0	6.51017300E-2	4.33298283E+1	1.66747596E+3	1.81609748E-7	8.79500000E+0	2.94197567E+1	0.00000000E+0
1.19582607E+1	1.39932000E-6	2.71213694E+0	6.51015200E-2	4.56417851E+1	1.66747059E+3	1.86605533E-7	8.79500000E+0	2.94175792E+1	0.00000000E+0
1.19582607E+1	1.43075000E-6	2.72334195E+0	6.51012900E-2	4.79548182E+1	1.66746469E+3	1.90622337E-7	8.79500000E+0	2.94164073E+1	0.00000000E+0
1.19582607E+1	1.45776000E-6	2.73203369E+0	6.51003600E-2	5.02523088E+1	1.66744087E+3	1.93828176E-7	8.79500000E+0	2.94168588E+1	0.00000000E+0
1.19582607E+1	1.48104000E-6	2.73904991E+0	6.51016800E-2	5.25579176E+1	1.66747468E+3	1.96475384E-7	8.79500000E+0	2.94149578E+1	0.00000000E+0
1.19582607E+1	1.50014000E-6	2.74470478E+0	6.51007300E-2	5.48634157E+1	1.66745035E+3	1.98648623E-7	8.79500000E+0	2.94141781E+1	0.00000000E+0
1.19582607E+1	1.51597000E-6	2.74910301E+0	6.51011200E-2	5.71630983E+1	1.66746034E+3	2.00363947E-7	8.79500000E+0	2.94139454E+1	0.00000000E+0
1.19582607E+1	1.52924000E-6	2.75276820E+0	6.51014700E-2	5.94583721E+1	1.66746930E+3	2.01810412E-7	8.79500000E+0	2.94143352E+1	0.00000000E+0
